"SampleID","site.name","elevation","depth","ph","toc","ec","average.soil.relative.humidity","relative.humidity.soil.high","relative.humidity.soil.low","percent.relative.humidity.soil.100","average.soil.temperature","temperature.soil.high","temperature.soil.low","vegetation","percentcover","transect"
"BAQ1370.1.2","BAQ1370",1370,2,7.98,525,6.08,16.17,23.97,11.42,0,22.61,35.21,12.46,"no",0,"BAQ"
"BAQ1370.3","BAQ1370",1370,2,8,771,6.08,16.17,23.97,11.42,0,22.61,35.21,12.46,"no",0,"BAQ"
"BAQ1370.1.3","BAQ1370",1370,3,8.13,539,2.27,16.17,23.97,11.42,0,22.61,35.21,12.46,"no",0,"BAQ"
"BAQ1552.1.1","BAQ1552",1552,1,7.87,226,6.08,15.75,35.36,11.1,0,22.63,30.65,10.96,"no",0,"BAQ"
"BAQ1552.2","BAQ1552",1552,2,7.89,223,1.839,15.75,35.36,11.1,0,22.63,30.65,10.96,"no",0,"BAQ"
"BAQ2420.1.1","BAQ2420",2420,1,9.33,531,6.08,82.54,100,41.135,46.77,22.45,28.297,13.294,"no",0,"BAQ"
"BAQ2420.1.2","BAQ2420",2420,2,9.36,166,0.075,82.54,100,41.135,46.77,22.45,28.297,13.294,"no",0,"BAQ"
"BAQ2420.2","BAQ2420",2420,2,9.36,337,0.075,82.54,100,41.135,46.77,22.45,28.297,13.294,"no",0,"BAQ"
"BAQ2420.3","BAQ2420",2420,2,9.36,574,0.075,82.54,100,41.135,46.77,22.45,28.297,13.294,"no",0,"BAQ"
"BAQ2420.1.3","BAQ2420",2420,3,8.9,521,2.27,82.54,100,41.135,46.77,22.45,28.297,13.294,"no",0,"BAQ"
"BAQ2462.1","BAQ2462",2462,2,8.35,173,0.506,69.08,98.396,32.558,0.21,21.83,29.024,12.971,"no",0,"BAQ"
"BAQ2462.2","BAQ2462",2462,2,8.35,331,0.506,69.08,98.396,32.558,0.21,21.83,29.024,12.971,"no",0,"BAQ"
"BAQ2462.3","BAQ2462",2462,2,8.35,634,0.506,69.08,98.396,32.558,0.21,21.83,29.024,12.971,"no",0,"BAQ"
"BAQ2687.1","BAQ2687",2687,2,8.35,554,0.131,73.21,100,20.87,43.48,18.2,25,10.67,"yes",0.1,"BAQ"
"BAQ2687.2","BAQ2687",2687,2,8.35,350,0.131,73.21,100,20.87,43.48,18.2,25,10.67,"yes",0.1,"BAQ"
"BAQ2687.3","BAQ2687",2687,2,8.35,400,0.131,73.21,100,20.87,43.48,18.2,25,10.67,"yes",0.1,"BAQ"
"BAQ2838.1","BAQ2838",2838,2,8.36,353,0.212,44.74,100,16.647,11.34,19.08,24.995,10.709,"no",0,"BAQ"
"BAQ2838.2","BAQ2838",2838,2,8.36,260,0.212,44.74,100,16.647,11.34,19.08,24.995,10.709,"no",0,"BAQ"
"BAQ2838.3","BAQ2838",2838,2,8.36,369,0.212,44.74,100,16.647,11.34,19.08,24.995,10.709,"no",0,"BAQ"
"BAQ3473.1","BAQ3473",3473,2,7.93,3675,0.42,82.05,100,42.09,35.37,13.46,20.69,5.12,"yes",1.2,"BAQ"
"BAQ3473.2","BAQ3473",3473,2,7.93,838,0.42,82.05,100,42.09,35.37,13.46,20.69,5.12,"yes",1.2,"BAQ"
"BAQ3473.3","BAQ3473",3473,2,7.93,16449,0.42,82.05,100,42.09,35.37,13.46,20.69,5.12,"yes",1.2,"BAQ"
"BAQ4166.1.1","BAQ4166",4166,1,5.64,521,2.945,100,100,100,100,9.41,17.54,1.42,"yes",7.1,"BAQ"
"BAQ4166.1.2","BAQ4166",4166,2,7.22,2085,0.084,100,100,100,100,9.41,17.54,1.42,"yes",7.1,"BAQ"
"BAQ4166.2","BAQ4166",4166,2,7.22,3692,0.084,100,100,100,100,9.41,17.54,1.42,"yes",7.1,"BAQ"
"BAQ4166.3","BAQ4166",4166,2,7.22,2271,0.084,100,100,100,100,9.41,17.54,1.42,"yes",7.1,"BAQ"
"BAQ4166.1.3","BAQ4166",4166,3,7.41,539,6.08,100,100,100,100,9.41,17.54,1.42,"yes",7.1,"BAQ"
